Gestioni collegate complete;Att. IVA;Regime IVA;Sez.;Protocollo;Data registrazione;Numero;Data doc.;Data ricezione;Fornitore;Tipo doc.;Totale documento;Netto a pagare;Ritenuta;Valuta;Causale;Allegati
Si;1;Normale;1;112;02-03-2026;99;28-02-2026;02-03-2026;MARANAN ATHENA MAE;Fattura;1.333,40;0,00;0,00;EUR;252;No
Si;1;Normale;1;111;02-03-2026;ML-592;28-02-2026;02-03-2026;DOT IMPRESA S.R.L.;Fattura;178,80;178,80;0,00;EUR;1;No
Si;1;Normale;1;110;01-03-2026;9590709890;28-02-2026;01-03-2026;INVISALIGN S.R.L.;Fattura differita art.21, c.4 lett. a);2,08;2,08;0,00;EUR;202;No
Si;1;Normale;1;109;01-03-2026;C1AV20015338;28-02-2026;01-03-2026;COMPASS BANCA SPA;Fattura differita art.21, c.4 lett. a);927,76;0,00;0,00;EUR;1;Si
Si;1;Normale;1;108;01-03-2026;C1AV20012730;28-02-2026;01-03-2026;COMPASS BANCA SPA;Fattura differita art.21, c.4 lett. a);2.681,15;2.681,15;0,00;EUR;1;Si
Si;1;Normale;1;107;28-02-2026;9060020571;27-02-2026;28-02-2026;STRAUMANN ITALIA SRL;Fattura;1.141,76;1.141,76;0,00;EUR;202;No
Si;1;Normale;1;106;28-02-2026;99/2026;26-02-2026;28-02-2026;CONFIDENT COMMERCIALE HOLDING S.P.A. SOCIETA' BENEFIT;Fattura;27.515,60;27.515,60;0,00;EUR;1;Si
Si;1;Normale;1;105;27-02-2026;8/001;27-02-2026;27-02-2026;TIBICHI EDWIN FLAVIUS;Fattura;2.169,43;2.169,43;0,00;EUR;252;No
Si;1;Normale;1;104;27-02-2026;60;27-02-2026;27-02-2026;LEZZI DANIELE DIELLE;Fattura differita art.21, c.4 lett. a);144,57;144,57;0,00;EUR;202;Si
Si;1;Normale;1;103;27-02-2026;43;27-02-2026;27-02-2026;INFINITY SRL;Fattura;244,00;244,00;0,00;EUR;1;No
Si;1;Normale;1;102;27-02-2026;50;26-02-2026;27-02-2026;NISI FRANCESCO GIUSEPPE;Fattura;802,00;802,00;0,00;EUR;1;No
Si;1;Normale;1;101;27-02-2026;6001057118;26-02-2026;27-02-2026;BLU SERVICE SRL;Fattura;37,03;37,03;0,00;EUR;202;No
